GAME_WEEK,GGPASS_ID,CID,NICKNAME,BRAND_ID,SITE_ID,TOP_CATEGORY,BET,GGR,THEO_WIN,DAYS_PLAYED
2025-12-22,42DDD289-B65D-4FDA-B03A-2195B5EF3233,42DDD289B65D4FDAB03A2195B5EF3233,anananzai,MBP,GGPUKE,CASINO,577.26636981,135.67106240,17.317991094300,1
2025-12-15,50719B18-EC54-4E9C-878D-18CBB31D7875,50719B18EC544E9C878D18CBB31D7875,PG-ONE,MBP,GGPUKE,CASINO,5045.04542874,355.08233957,151.351362862200,1
2025-12-15,302FB070-79F6-46A8-8A14-F4F79C9E8ECB,302FB07079F646A88A14F4F79C9E8ECB,mengmeng chui,MBP,GGPUKE,CASINO,399.55716586,36.43033725,11.986714975800,1
2025-12-08,34BDFC7B-568C-46B7-A1BC-509EF826A703,34BDFC7B568C46B7A1BC509EF826A703,Alexander Ageev,POKEROK,GGPOK,SLOT,3.20000000,0.85000000,0.107200000000,1
2025-12-22,46591AED-FFC1-4CF8-8F49-22B243829A38,46591AEDFFC14CF88F4922B243829A38,KW777,NATURAL8,Natural8,SLOT,60.00000000,15.20000000,2.292000000000,1
2025-12-15,3622DA21-48D5-4005-BD9A-84A139DAE902,3622DA2148D54005BD9A84A139DAE902,Rxbias11,GGPCOM,GGPCOM,CASINO,3.81000000,1.00000000,0.123825000000,1
2025-12-29,4C6A940E-9650-47FD-92C9-97EFE3EAB941,4C6A940E965047FD92C997EFE3EAB941,Edison-gg,MBP,GGPUKE,LIVE_DEALER,0.28534334,0.28534334,0.008560300200,1
2025-12-15,CBECD539-04A3-44C2-955E-DEFC7F8EE1C6,CBECD53904A344C2955EDEFC7F8EE1C6,1118H,MBP,GGPUKE,CASINO,2.98252665,0.56810032,0.089475799500,1
2025-12-22,78DCD84F-E8E8-418C-93B5-191FDA906DF9,78DCD84FE8E8418C93B5191FDA906DF9,All jackd up,GGPCOM,GGPCOM,SLOT,28.50000000,4.50000000,0.997500000000,1
2025-12-29,947D927F-28AB-4BE0-BF60-43D850238CDE,947D927F28AB4BE0BF6043D850238CDE,Poker_Newbee,MBP,GGPUKE,SLOT,2.14100365,0.49956752,0.071723622275,1
2025-12-29,1906D2FA-1924-4D95-9C18-50A32DFE3ADF,1906D2FA19244D959C1850A32DFE3ADF,Winbiglossless,MBP,GGPUKE,CASINO,333.92415151,28.56494024,10.017724545300,1
2025-12-22,B5084602-9FCD-4C1F-A25C-B36E849F5BE1,B50846029FCD4C1FA25CB36E849F5BE1,NadaParaVos,GGPCOM,GGPCOM,CASINO,1.22000000,1.00000000,0.042700000000,1
2025-12-15,463D563D-4628-4B28-B364-2AA5CFE35DAD,463D563D46284B28B3642AA5CFE35DAD,Miiwa3,GGPCOM,GGPPL,SLOT,0.06000000,0.06000000,0.001800000000,1
2025-12-22,FD5BDF65-E54D-4A46-9589-42BA7FC5DDCE,FD5BDF65E54D4A46958942BA7FC5DDCE,chinaloamx,GGPCOM,GGPCOM,CASINO,33.98000000,1.00000000,1.019400000000,1
2025-12-01,3D90FD87-1543-483C-A63F-F342266A3054,3D90FD871543483CA63FF342266A3054,ProdActive,POKEROK,GGPOK,SLOT,2.05000000,1.00000000,0.061500000000,1
2025-12-15,33AA1F6A-2EDB-4FFF-BF90-21038DD26DB0,33AA1F6A2EDB4FFFBF9021038DD26DB0,SkoTy[MN],GGPCOM,GGPCOM,SLOT,622.98000000,-109.89000000,19.830400000000,1
2025-12-01,CFB71D29-69F5-4694-9FAE-D72F12D695CC,CFB71D2969F546949FAED72F12D695CC,Tawan@@@,NATURAL8,Natural8,SLOT,3.96000000,2.00000000,0.118800000000,1
2025-12-08,578A04EE-021D-4D13-B6A8-44CE50F63CF8,578A04EE021D4D13B6A844CE50F63CF8,8864,MBP,GGPUKE,SLOT,106.05188624,16.77033828,3.552738189040,1
